epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.9829,1.76933,7.69217,2.64959,0.71429,0.20346,0.16357,0.11983,2.00795,3.17979,2.99871,0.00332668,0.00332668,0.00332668
2,112.366,1.85168,4.7815,2.61723,0.48781,0.31038,0.22038,0.16157,1.65614,2.34068,2.6082,0.00659408,0.00659408,0.00659408
3,166.76,2.07653,3.5192,2.74011,0.48883,0.35806,0.21981,0.15374,1.71022,2.45594,2.71932,0.00979548,0.00979548,0.00979548
4,219.158,2.11252,2.8958,2.72386,0.33375,0.30912,0.22454,0.15081,2.04822,2.50474,3.1118,0.009703,0.009703,0.009703
5,272.575,1.99882,2.54275,2.63802,0.41286,0.34196,0.27182,0.18288,1.91871,2.10703,2.85371,0.009604,0.009604,0.009604
6,325.945,1.93414,2.34215,2.58693,0.31842,0.42618,0.30296,0.2248,1.52697,1.74967,2.47876,0.009505,0.009505,0.009505
7,379.028,1.87486,2.23677,2.55082,0.27315,0.5579,0.33257,0.24316,1.51719,1.93927,2.45745,0.009406,0.009406,0.009406
8,431.886,1.85527,2.13935,2.52927,0.52309,0.51621,0.43719,0.32637,1.45136,1.61951,2.42969,0.009307,0.009307,0.009307
9,483.505,1.82859,2.09115,2.51282,0.30183,0.54332,0.3969,0.29593,1.40964,1.6577,2.39253,0.009208,0.009208,0.009208
10,534.547,1.76795,2.02292,2.4751,0.48059,0.52661,0.43379,0.32326,1.4172,1.6575,2.36887,0.009109,0.009109,0.009109
11,585.539,1.75327,1.97275,2.45939,0.51499,0.55174,0.46093,0.34121,1.36028,1.51445,2.31237,0.00901,0.00901,0.00901
12,637.214,1.73102,1.92055,2.44554,0.50953,0.49503,0.44828,0.33933,1.35423,1.4991,2.32564,0.008911,0.008911,0.008911
13,688.825,1.7035,1.89748,2.43308,0.44845,0.58524,0.45321,0.35383,1.31911,1.48282,2.29707,0.008812,0.008812,0.008812
14,739.799,1.68158,1.85476,2.41133,0.5263,0.48719,0.43552,0.32185,1.39955,1.53777,2.32833,0.008713,0.008713,0.008713
15,792.127,1.68422,1.85259,2.42015,0.55935,0.48798,0.45958,0.34851,1.37773,1.61801,2.34575,0.008614,0.008614,0.008614
16,844.903,1.6592,1.83997,2.40137,0.39196,0.58985,0.48669,0.36169,1.34984,1.44337,2.33096,0.008515,0.008515,0.008515
17,897.787,1.64839,1.82164,2.40433,0.5067,0.55266,0.50061,0.38213,1.26675,1.44874,2.25832,0.008416,0.008416,0.008416
18,950.889,1.65041,1.79769,2.39556,0.58738,0.55889,0.53814,0.41431,1.26875,1.36549,2.23543,0.008317,0.008317,0.008317
